# canonical keyword<TAB>category<TAB>synonyms separated by |
Java	language	
Python	language	
JavaScript	language	js
TypeScript	language	ts
C#	language	csharp
Go	language	golang
SQL	language	
Spring Boot	framework	spring|springboot
React	framework	reactjs
Angular	framework	
Vue	framework	vuejs
Node.js	framework	nodejs|node js
Django	framework	
Docker	tool	
Kubernetes	tool	k8s
Git	tool	
AWS	tool	
Azure	tool	
MySQL	tool	
PostgreSQL	tool	postgres
MongoDB	tool	
Redis	tool	
teamwork	soft-skill	làm việc nhóm|kỹ năng nhóm
communication	soft-skill	giao tiếp|kỹ năng giao tiếp
leadership	soft-skill	lãnh đạo|quản lý nhóm
problem solving	soft-skill	giải quyết vấn đề
